"collection1"
"quotes"
"[as the plane prepares to take off]"
"Hanging Lady:
Nervous?","http://www.imdb.com/name/nm0625148/?ref_=tt_trv_qu"
"Ted Striker:
Yes.","http://www.imdb.com/name/nm0001332/?ref_=tt_trv_qu"
"Hanging Lady:
First time?","http://www.imdb.com/name/nm0625148/?ref_=tt_trv_qu"
"Ted Striker:
No, I've been nervous lots of times.","http://www.imdb.com/name/nm0001332/?ref_=tt_trv_qu"
"Young Boy with Coffee:
Excuse me, I happened to be passing, and I thought you might like some coffee.","http://www.imdb.com/name/nm0390873/?ref_=tt_trv_qu"
"Little Girl:
Oh, that's very nice of you, thank you.","http://www.imdb.com/name/nm0821094/?ref_=tt_trv_qu"
"[takes coffee]"
"Little Girl:
Oh, won't you sit down?","http://www.imdb.com/name/nm0821094/?ref_=tt_trv_qu"
"Young Boy with Coffee:
Cream?","http://www.imdb.com/name/nm0390873/?ref_=tt_trv_qu"
"Little Girl:
No, thank you, I take it black, like my men.","http://www.imdb.com/name/nm0821094/?ref_=tt_trv_qu"
"Steve McCroskey:
Looks like I picked the wrong week to quit sniffing glue.","http://www.imdb.com/name/nm0000978/?ref_=tt_trv_qu"
"Rumack:
Can you fly this plane, and land it?","http://www.imdb.com/name/nm0000558/?ref_=tt_trv_qu"
"Ted Striker:
Surely you can't be serious.","http://www.imdb.com/name/nm0001332/?ref_=tt_trv_qu"
"Rumack:
I am serious... and don't call me Shirley.","http://www.imdb.com/name/nm0000558/?ref_=tt_trv_qu"
"Rumack:
What was it we had for dinner tonight?","http://www.imdb.com/name/nm0000558/?ref_=tt_trv_qu"
"Elaine Dickinson:
Well, we had a choice of steak or fish.","http://www.imdb.com/name/nm0353546/?ref_=tt_trv_qu"
"Rumack:
Yes, yes, I remember, I had lasagna.","http://www.imdb.com/name/nm0000558/?ref_=tt_trv_qu"
"Joey:
Wait a minute. I know you. You're Kareem Abdul-Jabbar. You play basketball for the Los Angeles Lakers.","http://www.imdb.com/name/nm0365283/?ref_=tt_trv_qu"
